Turkish,English
bir,One
ne ,What
ve ,And
için ,for  
mi ,is it
de ,also
o ,he
ben ,I
çok ,A lot
ama ,But
evet ,Yes
var ,there is
da ,in
mı ,is it
değil ,not
şey ,thing
hayır ,No
daha ,more
sen ,you
kadar ,much
bana ,To me
gibi ,like
yok ,no
bunu ,this
onu ,him-her-it
iyi ,Good
tamam ,Ok
beni ,Me
seni ,You
her ,each
benim ,Mine
sana ,to you
ki ,that
ya ,or
neden ,From where
zaman ,time
sadece ,Only
senin ,your
burada ,Here
olduğunu ,that
nasıl ,How
hiç ,none
sonra ,later
şimdi ,Now
en ,-most
öyle ,like that
mu ,is it
şu ,This
misin ,will you
önce ,before
biraz ,A little
hadi ,Come on
güzel ,Beautiful
musun ,are you
oldu ,happened
yani ,well
böyle ,like this
ona ,him
İyi ,Good
lütfen ,Please
onun ,her
bile ,even    
bak ,look
çünkü ,Because
peki ,Alright
eğer ,if
artık ,Now
gerçekten ,Really
geri ,back
biliyorum ,I know
istiyorum ,I want
kim ,who
olarak ,aspect
başka ,Another
belki ,maybe
tek ,only
doğru ,TRUE
büyük ,big
olan ,the one which...
biri ,someone
olur ,It is possible
buraya ,here
bay ,Mr
in ,of
olacak ,will be
adam ,man
ile ,with
hiçbir ,no
biz ,We
yardım ,help
demek ,means
hey ,Hey
sanırım ,I think
ın ,of
bilmiyorum ,I don't know
bunun ,this
tüm ,all
teşekkürler ,thanks
fazla ,more
yeni ,new
gün ,day
ederim ,thank you
nerede ,where
tanrım ,God
a ,A
şeyi ,thing
merhaba ,Hello
efendim ,Sir
orada ,there
son ,end
kötü ,bad
şeyler ,things
gece ,night
biliyor ,he knows
sorun ,problem
iki ,two
harika ,Wonderful
gerek ,necessary
et ,meat
tam ,full
İşte ,At work
bütün ,all
diye ,saying
hemen ,immediately
siz ,you
üzgünüm ,I am sad
ol ,be
olabilir ,it could be
i ,I
olsun ,let it be
küçük ,Small
size ,to you
yüzden ,so
bayan ,woman
aynı ,same
teşekkür ,Thanks
hakkında ,about
tabii ,of course
gel ,come
onları ,Them 
kendi ,own
kız ,girl
nin ,n
devam ,continue
bize ,to us
e ,to
oluyor ,is happening
ver ,give
izin ,permission
iş ,work
bizi ,we
buna ,this
anne ,mom
selam ,hi
vardı ,there
geldi ,came
bizim ,ours
sizi ,you
dur ,Stop
kimse ,noone
göre ,according to
asla ,never
özür ,apology
seninle ,With you
baba ,father
değilim ,I am not
aslında ,Actually
önemli ,important
tekrar ,again
git ,go
nın ,nin
yoksa ,or?
hala ,still
işte ,at work
oh ,oh
benimle ,with me 
içinde ,inside
mısın ,will you
yine ,again
mü ,is it
bence ,according to me
şekilde ,in the way
olmak ,to be
bugün ,Today
söyle ,Like this
birlikte ,together
olmaz ,Impossible
pekala ,ok
uzun ,LONG
lazım ,required
biliyorsun ,you know
zaten ,already
para ,money
ilk ,first
geliyor ,coming
onunla ,with him
gerçek ,real
dostum ,my friend
al ,get
bakalım ,let's see
onlar ,them
haydi ,lets
birkaç ,a few 
emin ,sure
üç ,fly
herkes ,everyone
dakika ,minute
ı ,I
söyledi ,told
istiyorsun ,you want
pek ,much
ister ,whether...or
saat ,hour
yapıyorsun ,you do
eve ,home
yıl ,year
miyim ,am I
çocuk ,child
yer ,place
hep ,always
şunu ,that
neler ,what
dilerim ,I wish
bekle ,wait
sizin ,yours
bırak ,leave       
olduğu ,that
ilgili ,relating to
gidelim ,lets go
yere ,to the ground
etmek ,to do
an ,moment
dan ,from
nedir ,why
un ,Fame
nereye ,To where
hepsi ,all
istemiyorum ,I don't want
olmalı ,must be
buradan ,from here
lanet ,curse
karşı ,opposite
kaç ,how much
az ,little
burası ,here
hazır ,ready
fakat ,but
eski ,old
çocuklar ,Children
kendini ,self
ediyorum ,I'm
gerekiyor ,it needs
benden ,from me
yapmak ,to do
kadın ,Woman
söz ,promise
kesinlikle ,Definitely
zor ,difficult
işe ,whereas
anda ,at the moment
tane ,unit
diğer ,other
dinle ,listen
bunlar ,these
işi ,heat
kişi ,person
görmek ,to see
kabul ,acceptance
niye ,Why
istiyor ,wants
seviyorum ,I love
aman ,Oh
sağ ,Right
zorunda ,must
misiniz ,Are you
tanrı ,god
yarın ,tomorrow
kez ,times
bundan ,from this
İki ,Two
elbette ,certainly
falan ,like
gidip ,go and go
hem ,both
yanlış ,wrong
onlara ,to them
senden ,from you
hoş ,pleasant
doktor ,doctor
tatlım ,sweetie
yapma ,don't do that
özel ,special
yemek ,food
hafta ,week
kontrol ,control
ediyor ,in
gereken ,required
yerde ,on the ground
oraya ,there
hâlâ ,still
geç ,late
dedim ,I said
mutlu ,Happy
ye ,eat
bazı ,some
birini ,one
ayrıca ,Moreover
ondan ,from him
eminim ,I am sure
nereden ,from where
etti ,it
dışarı ,outside
beri ,since
gitti ,gone
yalan ,Lie
edin ,get it
bakın ,Look
yalnız ,alone
insan ,person 
gördüm ,I saw 
değildi ,it wasn't
merak ,curiosity
insanlar ,people
polis ,police
ihtiyacım ,I need
erkek ,Male
görüşürüz ,see you later
dün ,Yesterday
ah ,Ah
haber ,news
la ,La
musunuz ,Are you
babam ,my father
gidiyor ,going
pekâlâ ,ok
yi ,yi
olmuş ,dead
akşam ,evening
den ,from
geçen ,last
sakin ,beware
ha ,Ha
sanki ,as if
beş ,five
karar ,decision
nefret ,hate
sabah ,morning
yaptım ,I did
veya ,or 
dikkat ,attention
umarım ,I hope
yerine ,in its place
çabuk ,quick
etme ,relief
olması ,to be
farklı ,different
değilsin ,You are not
ay ,moon
sonunda ,finally
gördün ,you saw
ettim ,I
sence ,what do you think
fark ,difference
üzerinde ,on
aptal ,stupid
kendimi ,myself
tamamen ,completely
oldukça ,increasingly
su ,This
boyunca ,along
kendine ,yourself
tarafından ,by
yeter ,enough
dünya ,World
u ,U
yı ,yi
olduğumu ,that I am
bunları ,these
vardır ,has
öldü ,died
olursa ,if it
açık ,open 
neyse ,Anyway
annem ,my mother
kes ,cut
İlk ,First
istediğim ,what I want
adı ,First Name
dr. ,dr.
yaptın ,you did
yap ,do
hangi ,Which
olamaz ,I can't be
ancak ,however
söyledim ,I told
görünüyor ,it looks
dört ,four
yüzünden ,because
aldım ,I bought
olsa ,though
birşey ,Something
birisi ,someone
be ,ben
yoktu ,did not have
kolay ,easy
dolar ,dollar
dedi ,said
sahip ,owner
ise ,whereas
olmadığını ,not
yanında ,next to you
gelecek ,future
adamı ,man
bende ,Me too
buldum ,I found
yol ,path
geldim ,I am here
bazen ,Sometimes
konuşmak ,to talk
başına ,per
gitmek ,to go
anlıyorum ,I understand
beraber ,together
henüz ,yet
yapıyor ,doing
yolu ,way
bitti ,finished
onların ,they
cevap ,reply
evde ,at home
yardımcı ,helper
zamanı ,the time
almak ,to take  
konusunda ,about
genç ,youth
oldum ,became
nun ,nun
takip ,follow-up
kal ,remain
öyleyse ,then
kahretsin ,damn it
durum ,situation
tabi ,subject to
günü ,day
ateş ,fire    
adamın ,your man
muhtemelen ,probably
adım ,my name
istedim ,I wanted
söylemek ,to say
azından ,at least
düşündüm ,I think
le ,le
yaptı ,made
neredeyse ,almost
eder ,eligible
olun ,be
yeniden ,again  
düşünüyorsun ,you are thinking
ciddi ,serious
vay ,Wow
herhangi ,any
ev ,house
hızlı ,fast
sanmıyorum ,I don't think so
süre ,duration
içeri ,inside
altında ,under
mükemmel ,Perfect
göz ,eyelash
kan ,blood
düşünüyorum ,I am thinking
ara ,Search
boş ,empty
miyiz ,Are we
konuda ,on the subject
halde ,in case of
duydum ,I heard
oğlum ,my son
şeyin ,your thing
uzak ,far
gelen ,incoming
aç ,hungry
işin ,ray
hayatta ,in life
çıktı ,output
sakın ,beware
saniye ,second
yakın ,close
anladım ,I understand
garip ,strange
john ,John
olduğuna ,that
on ,front
arada ,in between
hayal ,dream
gidiyorum ,I am going
araba ,car 
çeviri ,translation
çalışıyorum ,I am working
jack ,jack
söylüyor ,he says
sürü ,herd
hepimiz ,we all
kaldı ,remained
galiba ,probably
canım ,Darling
hayatım ,My love
rahat ,comfortable
kimin ,who's?
alo ,Hello
olacağım ,I will be
güçlü ,strong
savaş ,war
verdi ,given
ta ,ta
ortaya ,outstanding
şeye ,to what
bebeğim ,My baby
başladı ,started
dersin ,you say
gelip ,come and come
hayat ,life
bilirsin ,you know
çalışıyor ,Working
durumda ,in case
hatta ,even
geldin ,You came
yaptığını ,what you do
sende ,You too
olay ,event
şeyleri ,things
adamım ,my man
kesin ,definite
arasında ,between
arkadaşım ,My friend
hareket ,movement
altı ,six
bebek ,baby
kardeşim ,my brother
çocuğu ,child
böylece ,like this
acaba ,I wonder
sürekli ,continually
bin ,thousand
ihtiyacı ,need
haklısın ,you are right
soru ,question
olmadan ,without
